FinancialYear,District Name,TotalArea(Acres),TotalProduction(Tons)
1999-2000,Rangpur,46500,21440
2000-2001,Bandarban,30180,17870
2000-2001,Chittagong,106640,86960
2000-2001,Comilla,266460,197330
2000-2001,Khagrachari,3700,2830
2000-2001,Noakhali,219240,122050
2000-2001,Rangamati,11430,7360
2000-2001,Sylhet,396940,245440
2000-2001,Dhaka,117280,44170
2000-2001,Faridpur,317710,132840
2000-2001,Jamalpur,65140,32470
2000-2001,Kishoregonj,139750,95560
2000-2001,Mymensingh,186180,116570
2000-2001,Tangail,62210,22500
2000-2001,Barisal,357900,185360
2000-2001,Jessore,220870,152920
2000-2001,Khulna,31390,20670
2000-2001,Kushtia,173320,106020
2000-2001,Patuakhali,253490,146690
2000-2001,Bogra,19730,13450
2000-2001,Dinajpur,42040,30840
2000-2001,Pabna,60460,22870
2000-2001,Rajshahi,161010,99140
2000-2001,Rangpur,31700,13690
2001-2002,Bandarban,23400,14020
2001-2002,Chittagong,113580,90730
2001-2002,Comilla,271060,199690
2001-2002,Khagrachari,5200,3850
2001-2002,Noakhali,218990,129980
2001-2002,Rangamati,11110,6680
2001-2002,Sylhet,323550,215120
2001-2002,Dhaka,114850,48540
2001-2002,Faridpur,335960,129700
2001-2002,Jamalpur,51960,28010
2001-2002,Kishoregonj,102820,72310
2001-2002,Mymensingh,169220,114840
2001-2002,Tangail,58830,19790
2001-2002,Barisal,386160,210670
2001-2002,Jessore,170780,115200
2001-2002,Khulna,32080,22490
2001-2002,Kushtia,152690,95370
2001-2002,Patuakhali,248180,138170
2001-2002,Bogra,18060,12120
2001-2002,Dinajpur,28770,15510
2001-2002,Pabna,62860,23710
2001-2002,Rajshahi,144650,91240
2001-2002,Rangpur,24790,9980
2002-2003,Bandarban,25990,15610
2002-2003,Chittagong,118190,99430
2002-2003,Comilla,248920,182030
2002-2003,Khagrachari,5790,4640
2002-2003,Noakhali,224800,133980
2002-2003,Rangamati,12680,7190
2002-2003,Sylhet,339500,219070
2002-2003,Dhaka,108390,42490
2002-2003,Faridpur,317070,127970
2002-2003,Jamalpur,46760,22930
2002-2003,Kishoregonj,94900,69200
2002-2003,Mymensingh,168720,104440
2002-2003,Tangail,56160,33760
2002-2003,Barisal,374970,196350
2002-2003,Jessore,173240,127630
2002-2003,Khulna,29720,20940
2002-2003,Kushtia,142430,86110
2002-2003,Patuakhali,253360,152210
2002-2003,Bogra,17940,12740
2002-2003,Dinajpur,31960,26680
2002-2003,Pabna,70520,29450
2002-2003,Rajshahi,184020,118070
2002-2003,Rangpur,27330,17780
2003-2004,Bandarban,25320,15170
2003-2004,Chittagong,126820,108360
2003-2004,Comilla,229040,165300
2003-2004,Khagrachari,5870,6640
2003-2004,Noakhali,213550,123190
2003-2004,Rangamati,11850,7860
2003-2004,Sylhet,291360,213460
2003-2004,Dhaka,107500,46340
2003-2004,Faridpur,327240,142180
2003-2004,Jamalpur,43050,20070
2003-2004,Kishoregonj,89470,64380
2003-2004,Mymensingh,161460,112890
2003-2004,Tangail,54990,32330
2003-2004,Barisal,383740,201220
2003-2004,Jessore,165240,114240
2003-2004,Khulna,29550,21210
2003-2004,Kushtia,130630,74560
2003-2004,Patuakhali,252060,157160
2003-2004,Bogra,17890,12060
2003-2004,Dinajpur,27130,23780
2003-2004,Pabna,71570,32280
2003-2004,Rajshahi,185920,125120
2003-2004,Rangpur,20450,12040
2004-2005,Bandarban,24560,13390
2004-2005,Chittagong,112250,100830
2004-2005,Comilla,207260,140460
2004-2005,Khagrachari,6100,5890
2004-2005,Noakhali,208050,119320
2004-2005,Rangamati,14260,7810
2004-2005,Sylhet,226650,121760
2004-2005,Dhaka,57420,22780
2004-2005,Faridpur,220300,75590
2004-2005,Jamalpur,31470,12700
2004-2005,Kishoregonj,76090,41300
2004-2005,Mymensingh,134710,84190
2004-2005,Tangail,22020,8530
2004-2005,Barisal,380260,192580
2004-2005,Jessore,140540,113280
2004-2005,Khulna,32830,23280
2004-2005,Kushtia,90310,63580
2004-2005,Patuakhali,272970,170340
2004-2005,Bogra,17120,11850
2004-2005,Dinajpur,24980,19480
2004-2005,Pabna,51210,19960
2004-2005,Rajshahi,172210,127490
2004-2005,Rangpur,8560,4080
2005-2006,Bandarban,15261,8196
2005-2006,Chittagong,86645,82878
2005-2006,Comilla,209025,154405
2005-2006,Khagrachari,7384,6991
2005-2006,Noakhali,210436,128835
2005-2006,Rangamati,13668,9894
2005-2006,Sylhet,294787,230565
2005-2006,Dhaka,35870,17518
2005-2006,Faridpur,197718,73436
2005-2006,Jamalpur,32126,17193
2005-2006,Kishoregonj,75273,60797
2005-2006,Mymensingh,131882,86758
2005-2006,Tangail,7013,3412
2005-2006,Barisal,384895,223865
2005-2006,Jessore,142599,116121
2005-2006,Khulna,32223,24482
2005-2006,Kushtia,98548,75932
2005-2006,Patuakhali,258479,181349
2005-2006,Bogra,19867,14846
2005-2006,Dinajpur,20866,17752
2005-2006,Pabna,59975,30713
2005-2006,Rajshahi,214255,175489
2005-2006,Rangpur,6975,3612
2006-2007,Bandarban,16195,10604
2006-2007,Chittagong,91835,86859
2006-2007,Cox's Bazar,1725,1897
2006-2007,Comilla,116225,90069
2006-2007,Chandpur,37490,24838
2006-2007,Brahmanbaria,14010,7986
2006-2007,Khagrachari,6585,5111
2006-2007,Noakhali,82155,56648
2006-2007,Lakshmipur,64305,45088
2006-2007,Feni,34435,25262
2006-2007,Rangamati,12790,7989
2006-2007,Sylhet,107250,81782
2006-2007,Maulavibazar,53980,42444
2006-2007,Sunamgonj,9250,5655
2006-2007,Hobigonj,67250,55222
2006-2007,Dhaka,3490,1239
2006-2007,Gazipur,5970,3846
2006-2007,Manikgonj,6425,1090
2006-2007,Munshigonj,8015,2668
2006-2007,Narayangonj,1490,774
2006-2007,Narsingdi,1605,531
2006-2007,Faridpur,41920,12678
2006-2007,Rajbari,30270,9625
2006-2007,Madaripur,20350,6707
2006-2007,Gopalgonj,17625,5316
2006-2007,Shariatpur,39330,13829
2006-2007,Jamalpur,1480,739
2006-2007,Sherpur,21885,12482
2006-2007,Kishoregonj,44995,37659
2006-2007,Netrokona,15740,11522
2006-2007,Mymenshing,131785,91233
2006-2007,Tangail,7195,3120
2006-2007,Barisal,76115,44104
2006-2007,Jhalakathi,53915,34461
2006-2007,Perojpur,50180,29723
2006-2007,Bhola,123480,62360
2006-2007,Jessore,72520,75625
2006-2007,Jhenaidah,31065,22234
2006-2007,Magura,13310,9135
2006-2007,Narail,20925,9708
2006-2007,Khulna,10750,5557
2006-2007,Bagerhat,12055,8669
2006-2007,Satkhira,3720,3606
2006-2007,Khustia,58880,41294
2006-2007,Chuadanga,20660,15796
2006-2007,Meherpur,9390,6985
2006-2007,Patuakhali,149595,83625
2006-2007,Barguna,89470,56092
2006-2007,Bogra,20940,15891
2006-2007,Joypurhat,420,321
2006-2007,Dinajpur,19260,14343
2006-2007,Thakurgaon,0,0
2006-2007,Panchagar,0,0
2006-2007,Pabna,50180,17732
2006-2007,Sirajgonj,1570,855
2006-2007,Rajshahi,76925,67169
2006-2007,Noagaon,52895,45572
2006-2007,Natore,19975,11140
2006-2007,Nawabgonj,80660,65724
2006-2007,Rangpur,0,0
2006-2007,Gaibandha,40,46
2006-2007,Kurigram,4830,2046
2006-2007,Nilphamari,0,0
2006-2007,Lalmonirhat,0,0
2007-2008,Bandarban,18405,11513
2007-2008,Chittagong,99600,93523
2007-2008,Cox's Bazar,1765,1837
2007-2008,Comilla,77375,50677
2007-2008,Chandpur,23450,15610
2007-2008,Brahmanbaria,8310,4535
2007-2008,Khagrachari,6545,5791
2007-2008,Noakhali,98060,47722
2007-2008,Lakshmipur,77890,47022
2007-2008,Feni,32765,18206
2007-2008,Rangamati,15435,8723
2007-2008,Sylhet,93905,65463
2007-2008,Maulavibazar,58785,46604
2007-2008,Sunamgonj,7695,3825
2007-2008,Hobigonj,71425,46895
2007-2008,Dhaka,1960,804
2007-2008,Gazipur,6445,4328
2007-2008,Manikgonj,3375,661
2007-2008,Munshigonj,5970,2582
2007-2008,Narayangonj,2570,1617
2007-2008,Narsingdi,1085,484
2007-2008,Faridpur,19740,5512
2007-2008,Rajbari,10870,4206
2007-2008,Madaripur,5590,2064
2007-2008,Gopalgonj,8980,3181
2007-2008,Shariatpur,20590,7028
2007-2008,Jamalpur,1375,885
2007-2008,Sherpur,22375,13744
2007-2008,Kishoregonj,32135,25072
2007-2008,Netrokona,11475,8082
2007-2008,Mymenshing,127325,88198
2007-2008,Tangail,980,447
2007-2008,Barisal,79435,42882
2007-2008,Jhalakathi,51570,35671
2007-2008,Perojpur,45310,26584
2007-2008,Bhola,145715,79537
2007-2008,Jessore,86660,80571
2007-2008,Jhenaidah,42005,30906
2007-2008,Magura,8650,5490
2007-2008,Narail,18520,8803
2007-2008,Khulna,13695,8060
2007-2008,Bagerhat,14390,9995
2007-2008,Satkhira,3175,2955
2007-2008,Khustia,67255,38256
2007-2008,Chuadanga,27555,19851
2007-2008,Meherpur,9785,6720
2007-2008,Patuakhali,159430,85233
2007-2008,Barguna,89420,69622
2007-2008,Bogra,52555,44430
2007-2008,Joypurhat,220,155
2007-2008,Dinajpur,25145,17608
2007-2008,Thakurgaon,0,0
2007-2008,Panchagar,0,0
2007-2008,Pabna,45795,16038
2007-2008,Sirajgonj,4525,2932
2007-2008,Rajshahi,105520,84331
2007-2008,Noagaon,72605,65714
2007-2008,Natore,22360,11419
2007-2008,Nawabgonj,102135,74924
2007-2008,Rangpur,0,0
2007-2008,Gaibandha,25,14
2007-2008,Kurigram,2340,1310
2007-2008,Nilphamari,0,0
2007-2008,Lalmonirhat,0,0
2008-2009,Bandarban,20800,15636
2008-2009,Chittagong,103450,102177
2008-2009,Cox's Bazar,1785,1871
2008-2009,Comilla,124460,99278
2008-2009,Chandpur,31390,23942
2008-2009,Brahmanbaria,10620,6211
2008-2009,Khagrachari,6440,4864
2008-2009,Noakhali,100010,50873
2008-2009,Lakshmipur,78770,49669
2008-2009,Feni,34055,24654
2008-2009,Rangamati,16345,9965
2008-2009,Sylhet,104500,74520
2008-2009,Maulavibazar,46570,37638
2008-2009,Sunamgonj,7925,4646
2008-2009,Hobigonj,73555,62773
2008-2009,Dhaka,2780,1492
2008-2009,Gazipur,6595,4199
2008-2009,Manikgonj,1025,228
2008-2009,Munshigonj,3085,1319
2008-2009,Narayangonj,2525,1591
2008-2009,Narsingdi,1050,530
2008-2009,Faridpur,35265,14034
2008-2009,Rajbari,11165,6460
2008-2009,Madaripur,8535,3858
2008-2009,Gopalgonj,10115,3829
2008-2009,Shariatpur,28740,12336
2008-2009,Jamalpur,3255,1412
2008-2009,Sherpur,23860,15763
2008-2009,Kishoregonj,40460,33845
2008-2009,Netrokona,10925,6613
2008-2009,Mymenshing,147495,106457
2008-2009,Tangail,2770,1163
2008-2009,Barisal,90050,49954
2008-2009,Jhalakathi,55735,40202
2008-2009,Perojpur,54025,36111
2008-2009,Bhola,163745,87298
2008-2009,Jessore,99345,93031
2008-2009,Jhenaidah,56205,50131
2008-2009,Magura,14940,9858
2008-2009,Narail,20325,10123
2008-2009,Khulna,18980,11594
2008-2009,Bagerhat,20650,13926
2008-2009,Satkhira,6080,4559
2008-2009,Khustia,88225,65995
2008-2009,Chuadanga,33950,27860
2008-2009,Meherpur,12165,8294
2008-2009,Patuakhali,165350,105189
2008-2009,Barguna,113630,89335
2008-2009,Bogra,71915,60130
2008-2009,Joypurhat,125,95
2008-2009,Dinajpur,22755,22245
2008-2009,Thakurgaon,0,0
2008-2009,Panchagar,0,0
2008-2009,Pabna,54065,24011
2008-2009,Sirajgonj,10905,6247
2008-2009,Rajshahi,123455,115356
2008-2009,Noagaon,85715,80586
2008-2009,Natore,27120,16321
2008-2009,Nawabgonj,121330,81055
2008-2009,Rangpur,0,0
2008-2009,Gaibandha,785,535
2008-2009,Kurigram,895,516
2008-2009,Nilphamari,0,0
2008-2009,Lalmonirhat,180,154
2009-2010,Bandarban,18878,10690
2009-2010,Chittagong,104473,102418
2009-2010,Cox's Bazar,1632,2209
2009-2010,Comilla,160828,137086
2009-2010,Chandpur,29625,21373
2009-2010,Brahmanbaria,7947,4455
2009-2010,Khagrachari,5891,4382
2009-2010,Noakhali,110616,67155
2009-2010,Lakshmipur,70437,44473
2009-2010,Feni,29975,24875
2009-2010,Rangamati,15118,9203
2009-2010,Sylhet,85561,70719
2009-2010,Maulavibazar,44378,39324
2009-2010,Sunamgonj,6719,4100
2009-2010,Hobigonj,83005,80321
2009-2010,Dhaka,2227,1353
2009-2010,Gazipur,6145,4086
2009-2010,Manikgonj,874,244
2009-2010,Munshigonj,3553,2676
2009-2010,Narayangonj,1947,2220
2009-2010,Narsingdi,1022,516
2009-2010,Faridpur,32845,12374
2009-2010,Rajbari,23581,8113
2009-2010,Madaripur,9877,3998
2009-2010,Gopalgonj,12392,4332
2009-2010,Shariatpur,25330,7911
2009-2010,Jamalpur,2793,1539
2009-2010,Sherpur,8913,4719
2009-2010,Kishoregonj,42450,33830
2009-2010,Netrokona,5086,2785
2009-2010,Mymenshing,123129,71548
2009-2010,Tangail,2610,907
2009-2010,Barisal,78403,49051
2009-2010,Jhalakathi,51108,39107
2009-2010,Perojpur,58077,40949
2009-2010,Bhola,162053,78827
2009-2010,Jessore,80943,71742
2009-2010,Jhenaidah,66864,55054
2009-2010,Magura,16729,13751
2009-2010,Narail,16998,8603
2009-2010,Khulna,14517,8320
2009-2010,Bagerhat,16626,11051
2009-2010,Satkhira,8467,7425
2009-2010,Khustia,87106,62781
2009-2010,Chuadanga,25372,19735
2009-2010,Meherpur,16402,12770
2009-2010,Patuakhali,150498,94870
2009-2010,Barguna,108352,80873
2009-2010,Bogra,40894,27889
2009-2010,Joypurhat,70,32
2009-2010,Dinajpur,9578,7826
2009-2010,Thakurgaon,0,0
2009-2010,Panchagar,0,0
2009-2010,Pabna,49000,18061
2009-2010,Sirajgonj,13039,7578
2009-2010,Rajshahi,76695,63960
2009-2010,Noagaon,75283,55776
2009-2010,Natore,21774,11795
2009-2010,Nawabgonj,106005,74854
2009-2010,Rangpur,0,0
2009-2010,Gaibandha,386,299
2009-2010,Kurigram,596,214
2009-2010,Nilphamari,0,0
2009-2010,Lalmonirhat,0,0
2010-2011,Bandarban,19015,13955
2010-2011,Chittagong,108306,102394
2010-2011,Cox's Bazar,12494,13572
2010-2011,Comilla,161742,141448
2010-2011,Chandpur,29093,22558
2010-2011,Brahmanbaria,9621,6894
2010-2011,Khagrachari,6072,4763
2010-2011,Noakhali,146057,91366
2010-2011,Lakshmipur,87452,56982
2010-2011,Feni,29604,22156
2010-2011,Rangamati,14254,9280
2010-2011,Sylhet,51682,40787
2010-2011,Maulavibazar,69243,59875
2010-2011,Sunamgonj,8181,4484
2010-2011,Hobigonj,84356,78956
2010-2011,Dhaka,1607,912
2010-2011,Gazipur,5763,3869
2010-2011,Manikgonj,785,220
2010-2011,Munshigonj,1458,684
2010-2011,Narayangonj,1195,1003
2010-2011,Narsingdi,1012,517
2010-2011,Faridpur,23593,8557
2010-2011,Rajbari,15573,5592
2010-2011,Madaripur,6389,2317
2010-2011,Gopalgonj,8663,2940
2010-2011,Shariatpur,23736,7668
2010-2011,Jamalpur,4220,1975
2010-2011,Sherpur,17120,13172
2010-2011,Kishoregonj,52394,41973
2010-2011,Netrokona,4542,3468
2010-2011,Mymenshing,139151,103901
2010-2011,Tangail,2434,865
2010-2011,Barisal,81759,58130
2010-2011,Jhalakathi,57781,43383
2010-2011,Perojpur,69446,54770
2010-2011,Bhola,170659,112453
2010-2011,Jessore,110794,106195
2010-2011,Jhenaidah,59948,54958
2010-2011,Magura,29603,26635
2010-2011,Narail,12053,5859
2010-2011,Khulna,13986,8569
2010-2011,Bagerhat,23150,17208
2010-2011,Satkhira,21273,20849
2010-2011,Khustia,106143,91493
2010-2011,Chuadanga,28466,23164
2010-2011,Meherpur,13658,12310
2010-2011,Patuakhali,164908,116945
2010-2011,Barguna,116932,88051
2010-2011,Bogra,54746,43404
2010-2011,Joypurhat,136,106
2010-2011,Dinajpur,10705,8603
2010-2011,Thakurgaon,205,227
2010-2011,Panchagar,0,0
2010-2011,Pabna,54112,22009
2010-2011,Sirajgonj,11611,7691
2010-2011,Rajshahi,97528,85089
2010-2011,Noagaon,135378,136237
2010-2011,Natore,27399,16963
2010-2011,Nawabgonj,129951,101865
2010-2011,Rangpur,0,0
2010-2011,Gaibandha,342,266
2010-2011,Kurigram,536,286
2010-2011,Nilphamari,0,0
2010-2011,Lalmonirhat,0,0
2011-2012,Bandarban,20160,16327
2011-2012,Chittagong,111671,108080
2011-2012,Cox's Bazar,7804,8779
2011-2012,Comilla,172231,157418
2011-2012,Chandpur,24538,24282
2011-2012,Brahmanbaria,14009,10367
2011-2012,Khagrachari,5961,5182
2011-2012,Noakhali,145880,96321
2011-2012,Lakshmipur,87488,61901
2011-2012,Feni,30420,29897
2011-2012,Rangamati,15515,9890
2011-2012,Sylhet,85426,78066
2011-2012,Maulavibazar,58017,58390
2011-2012,Sunamgonj,6221,3973
2011-2012,Hobigonj,85208,83736
2011-2012,Dhaka,1552,927
2011-2012,Gazipur,5258,4103
2011-2012,Manikgonj,954,463
2011-2012,Munshigonj,1304,713
2011-2012,Narayangonj,523,383
2011-2012,Narsingdi,818,609
2011-2012,Faridpur,18825,5272
2011-2012,Rajbari,11573,3617
2011-2012,Madaripur,4742,1784
2011-2012,Gopalgonj,8006,2847
2011-2012,Shariatpur,19812,6678
2011-2012,Jamalpur,2395,1700
2011-2012,Sherpur,18342,14273
2011-2012,Kishoregonj,52893,44564
2011-2012,Netrokona,2285,1598
2011-2012,Mymenshing,133521,108383
2011-2012,Tangail,2160,1003
2011-2012,Barisal,86477,60966
2011-2012,Jhalakathi,61609,44006
2011-2012,Perojpur,76704,61796
2011-2012,Bhola,160173,109977
2011-2012,Jessore,107093,106649
2011-2012,Jhenaidah,64671,61597
2011-2012,Magura,24287,28041
2011-2012,Narail,12742,6182
2011-2012,Khulna,17965,10584
2011-2012,Bagerhat,26060,22426
2011-2012,Satkhira,22237,23451
2011-2012,Khustia,111408,104178
2011-2012,Chuadanga,35404,37880
2011-2012,Meherpur,17907,19436
2011-2012,Patuakhali,165639,132169
2011-2012,Barguna,113190,88300
2011-2012,Bogra,63314,53248
2011-2012,Joypurhat,78,64
2011-2012,Dinajpur,14314,15678
2011-2012,Thakurgaon,4606,3968
2011-2012,Panchagar,11,5
2011-2012,Pabna,55507,33050
2011-2012,Sirajgonj,13971,10389
2011-2012,Rajshahi,107702,106330
2011-2012,Noagaon,137516,117474
2011-2012,Natore,26101,21442
2011-2012,Nawabgonj,128176,99807
2011-2012,Rangpur,1250,1004
2011-2012,Gaibandha,281,222
2011-2012,Kurigram,538,306
2011-2012,Nilphamari,0,0
2011-2012,Lalmonirhat,0,0
2012-2013,Bandarban,18954,15309
2012-2013,Chittagong,108712,107343
2012-2013,Cox's Bazar,5676,5690
2012-2013,Comilla,166611,161670
2012-2013,Chandpur,24725,22360
2012-2013,Brahmanbaria,11723,8243
2012-2013,Khagrachari,6243,4943
2012-2013,Noakhali,141596,94064
2012-2013,Lakshmipur,84594,62770
2012-2013,Feni,30734,27255
2012-2013,Rangamati,16131,9899
2012-2013,Sylhet,86351,77673
2012-2013,Maulavibazar,66940,64335
2012-2013,Sunamgonj,4942,3228
2012-2013,Hobigonj,83168,77575
2012-2013,Dhaka,1241,752
2012-2013,Gazipur,5258,3730
2012-2013,Manikgonj,803,359
2012-2013,Munshigonj,1587,1187
2012-2013,Narayangonj,440,328
2012-2013,Narsingdi,648,493
2012-2013,Faridpur,20142,9068
2012-2013,Rajbari,10167,3982
2012-2013,Madaripur,5394,1998
2012-2013,Gopalgonj,7684,3224
2012-2013,Shariatpur,20111,8581
2012-2013,Jamalpur,1646,1062
2012-2013,Sherpur,13832,11733
2012-2013,Kishoregonj,46128,40132
2012-2013,Netrokona,1767,1418
2012-2013,Mymenshing,96697,75085
2012-2013,Tangail,1258,709
2012-2013,Barisal,86116,56747
2012-2013,Jhalakathi,52630,40919
2012-2013,Perojpur,67379,53089
2012-2013,Bhola,151146,93360
2012-2013,Jessore,150043,111964
2012-2013,Jhenaidah,106754,92321
2012-2013,Magura,100933,92290
2012-2013,Narail,53156,51147
2012-2013,Khulna,20883,19150
2012-2013,Bagerhat,13003,6040
2012-2013,Satkhira,11817,6733
2012-2013,Khustia,21873,18113
2012-2013,Chuadanga,20271,20089
2012-2013,Meherpur,97202,84560
2012-2013,Patuakhali,36180,34671
2012-2013,Barguna,16536,16949
2012-2013,Bogra,57296,50923
2012-2013,Joypurhat,24,19
2012-2013,Dinajpur,54201,30776
2012-2013,Thakurgaon,13975,10078
2012-2013,Panchagar,93465,95161
2012-2013,Pabna,125252,130208
2012-2013,Sirajgonj,25161,18747
2012-2013,Rajshahi,117019,102336
2012-2013,Noagaon,11891,10333
2012-2013,Natore,4499,3916
2012-2013,Nawabgonj,8,4
2012-2013,Rangpur,1200,1068
2012-2013,Gaibandha,145,110
2012-2013,Kurigram,335,219
2012-2013,Nilphamari,0,0
2012-2013,Lalmonirhat,0,0
2013-2014,Bandarban,19040,14954
2013-2014,Chittagong,109163,110758
2013-2014,Cox's Bazar,5347,4747
2013-2014,Comilla,172392,189004
2013-2014,Chandpur,25344,22552
2013-2014,Brahmanbaria,9580,8127
2013-2014,Khagrachari,6114,4570
2013-2014,Noakhali,142964,93622
2013-2014,Lakshmipur,82454,57894
2013-2014,Feni,33181,27035
2013-2014,Rangamati,14036,9968
2013-2014,Sylhet,91034,100550
2013-2014,Maulavibazar,69615,75584
2013-2014,Sunamgonj,7623,7915
2013-2014,Hobigonj,84818,86459
2013-2014,Dhaka,1178,947
2013-2014,Gazipur,6004,6324
2013-2014,Manikgonj,1158,960
2013-2014,Munshigonj,1550,1418
2013-2014,Narayangonj,370,344
2013-2014,Narsingdi,664,419
2013-2014,Faridpur,18764,9272
2013-2014,Rajbari,8080,4096
2013-2014,Madaripur,5650,3341
2013-2014,Gopalgonj,7708,5669
2013-2014,Shariatpur,18518,10327
2013-2014,Jamalpur,1842,1059
2013-2014,Sherpur,15490,13630
2013-2014,Kishoregonj,48461,47548
2013-2014,Netrokona,1804,1253
2013-2014,Mymenshing,75564,63482
2013-2014,Tangail,2905,2130
2013-2014,Barisal,86536,48335
2013-2014,Jhalakathi,51019,44909
2013-2014,Perojpur,67451,50344
2013-2014,Bhola,150541,81528
2013-2014,Jessore,149043,105251
2013-2014,Jhenaidah,104754,113110
2013-2014,Magura,97520,105021
2013-2014,Narail,52767,61503
2013-2014,Khulna,19414,17413
2013-2014,Bagerhat,13646,7801
2013-2014,Satkhira,9763,5621
2013-2014,Khustia,21599,18613
2013-2014,Chuadanga,20873,22977
2013-2014,Meherpur,91970,92602
2013-2014,Patuakhali,53095,57826
2013-2014,Barguna,21175,28013
2013-2014,Bogra,57296,56120
2013-2014,Joypurhat,24,19
2013-2014,Dinajpur,57176,37392
2013-2014,Thakurgaon,15380,14875
2013-2014,Panchagar,92072,95889
2013-2014,Pabna,124382,142396
2013-2014,Sirajgonj,21109,17047
2013-2014,Rajshahi,117246,103380
2013-2014,Noagaon,9484,8411
2013-2014,Natore,3377,3353
2013-2014,Nawabgonj,2,1
2013-2014,Rangpur,0,0
2013-2014,Gaibandha,110,80
2013-2014,Kurigram,412,248
2013-2014,Nilphamari,0,0
2013-2014,Lalmonirhat,0,0
2014-2015,Bandarban,19013,13871
2014-2015,Chittagong,108575,108026
2014-2015,Cox's Bazar,4405,4110
2014-2015,Comilla,169961,172306
2014-2015,Chandpur,29308,25969
2014-2015,Brahmanbaria,11714,10100
2014-2015,Khagrachari,6406,4687
2014-2015,Noakhali,132752,93409
2014-2015,Lakshmipur,80036,57799
2014-2015,Feni,29269,26338
2014-2015,Rangamati,17241,11414
2014-2015,Sylhet,93589,98593
2014-2015,Maulavibazar,76890,81801
2014-2015,Sunamgonj,11180,11595
2014-2015,Hobigonj,86028,83460
2014-2015,Dhaka,1711,1413
2014-2015,Gazipur,4131,4071
2014-2015,Manikgonj,1977,1622
2014-2015,Munsigonj,865,821
2014-2015,Narayangonj,51,49
2014-2015,Narsingdi,739,474
2014-2015,Faridpur,16626,10599
2014-2015,Rajbari,5265,2465
2014-2015,Madaripur,3755,2031
2014-2015,Gopalgonj,6598,3953
2014-2015,Shariatpur,22532,12043
2014-2015,Jamalpur,3562,2530
2014-2015,Sherpur,13338,10937
2014-2015,Kishoregonj,47331,45640
2014-2015,Netrokona,532,330
2014-2015,Mymenshing,65658,62928
2014-2015,Tangail,902,546
2014-2015,Barisal,83188,49083
2014-2015,Jhalakathi,46135,36433
2014-2015,Perojpur,65031,54668
2014-2015,Bhola,184434,100811
2014-2015,Patuakhali,144419,115113
2014-2015,Barguna,97047,94652
2014-2015,Jessore,84690,96397
2014-2015,Jhenaidah,52867,59845
2014-2015,Magura,18244,14961
2014-2015,Narail,11430,6880
2014-2015,Khulna,8392,4525
2014-2015,Bagerhat,20258,19709
2014-2015,Satkhira,20051,20133
2014-2015,Kushtia,87950,87903
2014-2015,Chuadanga,63034,70287
2014-2015,Meherpur,20979,25465
2014-2015,Bogra,56081,52125
2014-2015,Joypurhat,0,0
2014-2015,Pabna,50573,33782
2014-2015,Sirajgonj,16600,15405
2014-2015,Rajshahi,96094,111467
2014-2015,Noagaon,127603,144321
2014-2015,Natore,19096,16122
2014-2015,Nawabgonj,111406,108316
2014-2015,Dinajpur,12067,11216
2014-2015,Thakurgaon,7558,6884
2014-2015,Panchagar,0,0
2014-2015,Rangpur,3275,3438
2014-2015,Gaibandha,804,600
2014-2015,Kurigram,2057,1621
2014-2015,Nilphamari,0,0
2014-2015,Lalmonirhat,0,0
