DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Kishoregonj,1998-1999,736950,835030
Kishoregonj,1999-2000,791260,960670
Kishoregonj,2000-2001,675740,885010
Kishoregonj,2001-2002,682230,843070
Kishoregonj,2002-2003,693540,857550
Kishoregonj,2003-2004,602050,749790
Kishoregonj,2004-2005,649351,902634
Kishoregonj,2005-2006,712655,1029226
Kishoregonj,2006-2007,366940,493375
Kishoregonj,2007-2008,399720,679546
Kishoregonj,2008-2009,422098,679655
Kishoregonj,2009-2010,388959,621424
Kishoregonj,2010-2011,430006,731186
Kishoregonj,2011-2012,422093,704645
Kishoregonj,2012-2013,417272,706897
Kishoregonj,2013-2014,411155,673689
Kishoregonj,2014-2015,322547,503034
Kurigram,2006-2007,209180,332317
Kurigram,2007-2008,216485,345137
Kurigram,2008-2009,221395,353901
Kurigram,2009-2010,231721,378907
Kurigram,2010-2011,231337,379119
Kurigram,2011-2012,235599,371557
Kurigram,2012-2013,230262,393727
Kurigram,2013-2014,239508,410475
Kurigram,2014-2015,249683,416497
Kushtia,1969-1970,2850,2890
Kushtia,1970-1971,4980,4710
Kushtia,1971-1972,3590,2610
Kushtia,1972-1973,5050,4655
Kushtia,1973-1974,5930,4820
Kushtia,1974-1975,7800,5815
Kushtia,1975-1976,5520,3930
Kushtia,1976-1977,5265,4355
Kushtia,1977-1978,3565,2755
Kushtia,1978-1979,3405,2480
Kushtia,1979-1980,9180,4965
Kushtia,1980-1981,5200,4020
Kushtia,1981-1982,8840,7205
Kushtia,1982-1983,10060,8885
Kushtia,1983-1984,8555,6760
Kushtia,1984-1985,9575,10250
Kushtia,1985-1986,16545,19378
Kushtia,1986-1987,16305,21130
Kushtia,1987-1988,23747,26908
Kushtia,1988-1989,41260,45605
Kushtia,1989-1990,48480,53070
Kushtia,1990-1991,56810,61020
Kushtia,1991-1992,64490,67460
Kushtia,1992-1993,66680,66120
Kushtia,1993-1994,51420,52220
Kushtia,1994-1995,77000,81130
Kushtia,1995-1996,85870,90690
Kushtia,1996-1997,89710,94650
Kushtia,1997-1998,111470,129900
Kushtia,1998-1999,124240,165940
Kushtia,1999-2000,174110,242990
Kushtia,2000-2001,186780,257260
Kushtia,2001-2002,187190,254060
Kushtia,2002-2003,186620,256630
Kushtia,2003-2004,193550,286780
Kushtia,2004-2005,202920,301038
Kushtia,2005-2006,182550,269374
Lakshmipur,2006-2007,63610,86665
Lakshmipur,2007-2008,64445,100273
Lakshmipur,2008-2009,64128,97952
Lakshmipur,2009-2010,72707,103381
Lakshmipur,2010-2011,71336,104752
Lakshmipur,2011-2012,71332,105522
Lakshmipur,2012-2013,74241,121887
Lakshmipur,2013-2014,68304,114550
Lakshmipur,2014-2015,65474,100316
Lalmonirhat,2006-2007,114365,176102
Lalmonirhat,2007-2008,125570,210511
Lalmonirhat,2008-2009,138120,222266
Lalmonirhat,2009-2010,128318,212876
Lalmonirhat,2010-2011,128956,222972
Lalmonirhat,2011-2012,131879,217227
Lalmonirhat,2012-2013,131905,218392
Lalmonirhat,2013-2014,131646,217658
Lalmonirhat,2014-2015,125607,204704
Madaripur,2006-2007,98475,148538
Madaripur,2007-2008,95110,151244
Madaripur,2008-2009,97753,158186
Madaripur,2009-2010,111105,175041
Madaripur,2010-2011,109342,182732
Madaripur,2011-2012,104600,181402
Madaripur,2012-2013,100243,168079
Madaripur,2013-2014,99970,164460
Madaripur,2014-2015,96993,166069
Magura,2006-2007,76215,116812
Magura,2007-2008,89250,124394
Magura,2008-2009,101738,161483
Magura,2009-2010,96016,140582
Magura,2010-2011,96687,157416
Magura,2011-2012,101500,158388
Magura,2012-2013,91789,138430
Magura,2013-2014,96647,154191
Magura,2014-2015,92021,148926
Manikgonj,2006-2007,124770,178427
Manikgonj,2007-2008,129525,218504
Manikgonj,2008-2009,135248,212350
Manikgonj,2009-2010,139618,242134
Manikgonj,2010-2011,140046,224307
Manikgonj,2011-2012,146672,255207
Manikgonj,2012-2013,148279,255036
Manikgonj,2013-2014,146376,256514
Manikgonj,2014-2015,144337,265448
Maulavibazar,2006-2007,88880,83984
Maulavibazar,2007-2008,98225,115819
Maulavibazar,2008-2009,104705,126273
Maulavibazar,2009-2010,98999,130035
Maulavibazar,2010-2011,105247,131539
Maulavibazar,2011-2012,105827,128647
Maulavibazar,2012-2013,115537,135954
Maulavibazar,2013-2014,118060,146683
Maulavibazar,2014-2015,124905,165083
Maulavibazar,2006-2007,88880,83984
Maulavibazar,2007-2008,98225,115819
Maulavibazar,2008-2009,104705,126273
Maulavibazar,2009-2010,98999,130035
Maulavibazar,2010-2011,105247,131539
Maulavibazar,2011-2012,105827,128647
Maulavibazar,2012-2013,115537,135954
Maulavibazar,2013-2014,118060,146683
Maulavibazar,2014-2015,124905,165083
Meherpur,2006-2007,52040,80731
Meherpur,2007-2008,61095,100164
Meherpur,2008-2009,65806,107397
Meherpur,2009-2010,63552,110056
Meherpur,2010-2011,63174,93932
Meherpur,2011-2012,61956,95044
Meherpur,2012-2013,55292,96182
Meherpur,2013-2014,53849,86868
Meherpur,2014-2015,53706,92927
Munshigonj,2006-2007,56360,82274
Munshigonj,2007-2008,61855,98741
Munshigonj,2008-2009,57086,86756
Munshigonj,2009-2010,64161,109687
Munshigonj,2010-2011,59456,90154
Munshigonj,2011-2012,60364,96933
Munshigonj,2012-2013,60783,96940
Munshigonj,2013-2014,61263,100077
Munshigonj,2014-2015,61265,104440
Mymensingh,1969-1970,129880,111680
Mymensingh,1970-1971,139000,125850
Mymensingh,1971-1972,135030,103440
Mymensingh,1972-1973,149745,115940
Mymensingh,1973-1974,162530,125070
Mymensingh,1974-1975,162505,106425
Mymensingh,1975-1976,177240,113680
Mymensingh,1976-1977,154410,86165
Mymensingh,1977-1978,174235,126445
Mymensingh,1978-1979,106840,70165
Mymensingh,1979-1980,89055,70050
Mymensingh,1980-1981,113070,70725
Mymensingh,1981-1982,140590,112645
Mymensingh,1982-1983,156405,130440
Mymensingh,1983-1984,154770,130190
Mymensingh,1984-1985,175745,162845
Mymensingh,1985-1986,148895,123592
Mymensingh,1986-1987,193565,175080
Mymensingh,1987-1988,265522,193960
Mymensingh,1988-1989,233660,218290
Mymensingh,1989-1990,256040,241880
Mymensingh,1990-1991,262890,272760
Mymensingh,1991-1992,276200,294280
Mymensingh,1992-1993,285290,291300
Mymensingh,1993-1994,274730,285140
Mymensingh,1994-1995,280890,256870
Mymensingh,1995-1996,291940,289530
Mymensingh,1996-1997,305960,332490
Mymensingh,1997-1998,322650,381810
Mymensingh,1998-1999,406950,492110
Mymensingh,1999-2000,478340,602130
Mymensingh,2000-2001,525980,698110
Mymensingh,2001-2002,474150,622200
Mymensingh,2002-2003,465660,628150
Mymensingh,2003-2004,476690,626800
Mymensingh,2004-2005,486507,651081
Mymensingh,2005-2006,488850,637748
Mymensingh,2006-2007,511440,661023
Mymensingh,2007-2008,594160,812189
Mymensingh,2008-2009,595874,801190
Mymensingh,2009-2010,637360,908157
Mymensingh,2010-2011,637921,925937
Mymensingh,2011-2012,646190,966869
Mymensingh,2012-2013,647526,936015
Mymensingh,2013-2014,646955,1076409
Mymensingh,2014-2015,3619419,6034268
Narail,2006-2007,77610,112351
Narail,2007-2008,82500,144380
Narail,2008-2009,90162,146614
Narail,2009-2010,98028,171183
Narail,2010-2011,96483,156165
Narail,2011-2012,91540,159371
Narail,2012-2013,87128,146989
Narail,2013-2014,85464,121432
Narail,2014-2015,118687,178971
Narayangonj,2006-2007,71235,92794
Narayangonj,2007-2008,83030,129390
Narayangonj,2008-2009,78650,118218
Narayangonj,2009-2010,73316,111879
Narayangonj,2010-2011,73221,118127
Narayangonj,2011-2012,72692,125444
Narayangonj,2012-2013,73421,119075
Narayangonj,2013-2014,69119,117576
Narayangonj,2014-2015,66127,101838
Narsingdi,2006-2007,124840,162292
Narsingdi,2007-2008,132465,207669
Narsingdi,2008-2009,137572,212482
Narsingdi,2009-2010,146935,229264
Narsingdi,2010-2011,133399,223980
Narsingdi,2011-2012,132723,220941
Narsingdi,2012-2013,132958,228106
Narsingdi,2013-2014,132769,205812
Narsingdi,2014-2015,125561,196927
Natore,2006-2007,166460,264712
Natore,2007-2008,164465,304231
Natore,2008-2009,172189,298569
Natore,2009-2010,163249,287990
Natore,2010-2011,151044,288242
Natore,2011-2012,154186,298320
Natore,2012-2013,143397,247123
Natore,2013-2014,139970,249564
Natore,2014-2015,136334,253141
Nawabgonj,2006-2007,108200,171529
Nawabgonj,2007-2008,127260,206666
Nawabgonj,2008-2009,125730,197015
Nawabgonj,2009-2010,120874,168530
Nawabgonj,2010-2011,124795,190666
Nawabgonj,2011-2012,131407,202009
Nawabgonj,2012-2013,124832,198404
Nawabgonj,2013-2014,125329,196834
Nawabgonj,2014-2015,120452,182010
Netrokona,2006-2007,373340,510685
Netrokona,2007-2008,401280,618431
Netrokona,2008-2009,422466,651599
Netrokona,2009-2010,384419,580298
Netrokona,2010-2011,400383,657433
Netrokona,2011-2012,394942,638865
Netrokona,2012-2013,412627,718844
Netrokona,2013-2014,431989,707864
Netrokona,2014-2015,418797,729912
Nilphamari,2006-2007,176525,253619
Nilphamari,2007-2008,184055,295254
Nilphamari,2008-2009,188666,310839
Nilphamari,2009-2010,187941,301573
Nilphamari,2010-2011,189918,309887
Nilphamari,2011-2012,199055,314327
Nilphamari,2012-2013,200793,319184
Nilphamari,2013-2014,204352,331808
Nilphamari,2014-2015,203087,359308
Noagaon,2006-2007,429800,636438
Noagaon,2007-2008,456955,775270
Noagaon,2008-2009,455670,758334
Noagaon,2009-2010,459985,768087
Noagaon,2010-2011,461448,796884
Noagaon,2011-2012,469541,787873
Noagaon,2012-2013,476744,812180
Noagaon,2013-2014,476060,863446
Noagaon,2014-2015,500960,844183
Noakhali,1969-1970,44760,57140
Noakhali,1970-1971,52235,66555
Noakhali,1971-1972,68295,81970
Noakhali,1972-1973,69950,77750
Noakhali,1973-1974,136110,147015
Noakhali,1974-1975,169555,143895
Noakhali,1975-1976,175475,170065
Noakhali,1976-1977,153390,132915
Noakhali,1977-1978,157430,138630
Noakhali,1978-1979,141545,119675
Noakhali,1979-1980,144480,207375
Noakhali,1980-1981,121820,113400
Noakhali,1981-1982,147160,130315
Noakhali,1982-1983,171555,190305
Noakhali,1983-1984,153570,149050
Noakhali,1984-1985,182465,186536
Noakhali,1985-1986,147265,135654
Noakhali,1986-1987,181525,170790
Noakhali,1987-1988,186574,179716
Noakhali,1988-1989,275450,245155
Noakhali,1989-1990,300880,314940
Noakhali,1990-1991,329260,321600
Noakhali,1991-1992,344000,364650
Noakhali,1992-1993,283200,245960
Noakhali,1993-1994,272560,238390
Noakhali,1994-1995,215060,186040
Noakhali,1995-1996,231690,232540
Noakhali,1996-1997,230070,243810
Noakhali,1997-1998,247870,262710
Noakhali,1998-1999,251120,321060
Noakhali,1999-2000,256650,326330
Noakhali,2000-2001,260080,322210
Noakhali,2001-2002,271420,338390
Noakhali,2002-2003,280340,361020
Noakhali,2003-2004,247180,309860
Noakhali,2004-2005,249138,342958
Noakhali,2005-2006,225865,294267
Noakhali,2006-2007,109930,156504
Noakhali,2007-2008,134640,222981
Noakhali,2008-2009,133128,214076
Noakhali,2009-2010,142813,219398
Noakhali,2010-2011,144502,228637
Noakhali,2011-2012,146257,229450
Noakhali,2012-2013,144759,232474
Noakhali,2013-2014,152793,259655
Noakhali,2014-2015,147811,262472
Pabna,1969-1970,21090,18120
Pabna,1970-1971,26435,26780
Pabna,1971-1972,29435,27030
Pabna,1972-1973,42370,40640
Pabna,1973-1974,64700,59860
Pabna,1974-1975,71160,57720
Pabna,1975-1976,65410,57260
Pabna,1976-1977,30135,26315
Pabna,1977-1978,38580,36735
Pabna,1978-1979,37400,24760
Pabna,1979-1980,36880,28570
Pabna,1980-1981,41655,40840
Pabna,1981-1982,90595,100825
Pabna,1982-1983,103765,128215
Pabna,1983-1984,127625,138040
Pabna,1984-1985,138320,161300
Pabna,1985-1986,141850,180655
Pabna,1986-1987,151015,162820
Pabna,1987-1988,215500,219167
Pabna,1988-1989,223340,245660
Pabna,1989-1990,243220,272330
Pabna,1990-1991,238550,276680
Pabna,1991-1992,245870,285930
Pabna,1992-1993,242040,255140
Pabna,1993-1994,208980,259630
Pabna,1994-1995,230500,250320
Pabna,1995-1996,244240,292220
Pabna,1996-1997,250780,302060
Pabna,1997-1998,253920,307110
Pabna,1998-1999,349930,467500
Pabna,1999-2000,361850,458180
Pabna,2000-2001,420910,572210
Pabna,2001-2002,407460,541710
Pabna,2002-2003,420720,558960
Pabna,2003-2004,426900,582690
Pabna,2004-2005,444306,657656
Pabna,2005-2006,434620,658775
Pabna,2006-2007,156535,261351
Pabna,2007-2008,172335,300708
Pabna,2008-2009,173530,286172
Pabna,2009-2010,169054,267512
Pabna,2010-2011,168127,287189
Pabna,2011-2012,169421,284993
Pabna,2012-2013,174473,298243
Pabna,2013-2014,173743,294646
Pabna,2014-2015,171494,277632
Panchagar,2006-2007,81375,111872
Panchagar,2006-2007,81375,111872
Panchagar,2007-2008,98140,157844
Panchagar,2008-2009,114892,190344
Panchagar,2009-2010,114865,182305
Panchagar,2010-2011,113231,183316
Panchagar,2011-2012,115564,179736
Panchagar,2012-2013,106179,171096
Panchagar,2013-2014,99324,153027
Panchagar,2014-2015,101897,168532
Patuakhali,1969-1970,18900,22330
Patuakhali,1970-1971,53485,65550
Patuakhali,1971-1972,38065,42010
Patuakhali,1972-1973,56410,68990
Patuakhali,1973-1974,64285,63645
Patuakhali,1974-1975,29540,31085
Patuakhali,1975-1976,42320,43365
Patuakhali,1976-1977,11460,8920
Patuakhali,1977-1978,27450,24895
Patuakhali,1978-1979,31770,24470
Patuakhali,1979-1980,27290,28615
Patuakhali,1980-1981,14185,10460
Patuakhali,1981-1982,19440,15770
Patuakhali,1982-1983,21385,17900
Patuakhali,1983-1984,24295,13170
Patuakhali,1984-1985,35425,19465
Patuakhali,1985-1986,15365,8784
Patuakhali,1986-1987,12010,5385
Patuakhali,1987-1988,10890,4289
Patuakhali,1988-1989,6720,4110
Patuakhali,1989-1990,4740,2960
Patuakhali,1990-1991,6420,3750
Patuakhali,1991-1992,12550,10730
Patuakhali,1992-1993,14000,12260
Patuakhali,1993-1994,15910,14540
Patuakhali,1994-1995,19790,19530
Patuakhali,1995-1996,21220,21500
Patuakhali,1996-1997,22230,25860
Patuakhali,1997-1998,24210,28510
Patuakhali,1998-1999,13400,13660
Patuakhali,1999-2000,3230,3730
Patuakhali,2000-2001,2010,1420
Patuakhali,2001-2002,2730,1810
Patuakhali,2002-2003,2520,1510
Patuakhali,2003-2004,2120,1260
Patuakhali,2004-2005,2038,1437
Patuakhali,2005-2006,1580,874
Patuakhali,2006-2007,6095,3557
Patuakhali,2007-2008,8420,5542
Patuakhali,2008-2009,7968,5186
Patuakhali,2009-2010,11282,10622
Patuakhali,2010-2011,10929,11456
Patuakhali,2011-2012,9542,9494
Patuakhali,2012-2013,7760,7746
Patuakhali,2013-2014,6688,6380
Patuakhali,2014-2015,726,851
Perojpur,2006-2007,34940,44419
Perojpur,2007-2008,42095,58223
Perojpur,2008-2009,47984,64524
Perojpur,2009-2010,46870,65626
Perojpur,2010-2011,49695,68965
Perojpur,2011-2012,49041,63243
Perojpur,2012-2013,47508,60771
Perojpur,2013-2014,48557,70660
Perojpur,2014-2015,139313,173804
Rajbari,2006-2007,46505,75533
Rajbari,2007-2008,51250,83916
Rajbari,2008-2009,55460,83410
Rajbari,2009-2010,48934,78921
Rajbari,2010-2011,47804,80974
Rajbari,2011-2012,46531,77534
Rajbari,2012-2013,42257,70020
Rajbari,2013-2014,41014,68464
Rajbari,2014-2015,43161,74343
Rajshahi,1969-1970,90360,66730
Rajshahi,1970-1971,95000,78590
Rajshahi,1971-1972,84240,63020
Rajshahi,1972-1973,97435,82030
Rajshahi,1973-1974,125005,119685
Rajshahi,1974-1975,126005,104125
Rajshahi,1975-1976,129060,101630
Rajshahi,1976-1977,105800,94660
Rajshahi,1977-1978,104650,95995
Rajshahi,1978-1979,92665,70305
Rajshahi,1979-1980,95605,84205
Rajshahi,1980-1981,85165,96040
Rajshahi,1981-1982,112885,113360
Rajshahi,1982-1983,128290,130080
Rajshahi,1983-1984,151915,167130
Rajshahi,1984-1985,143520,159135
Rajshahi,1985-1986,226790,237903
Rajshahi,1986-1987,271160,289235
Rajshahi,1987-1988,293341,319758
Rajshahi,1988-1989,379345,346075
Rajshahi,1989-1990,426890,418780
Rajshahi,1990-1991,420130,512710
Rajshahi,1991-1992,427680,522710
Rajshahi,1992-1993,448720,537220
Rajshahi,1993-1994,469080,584140
Rajshahi,1994-1995,507230,573420
Rajshahi,1995-1996,535400,639420
Rajshahi,1996-1997,540160,648810
Rajshahi,1997-1998,549750,692760
Rajshahi,1998-1999,688320,914820
Rajshahi,1999-2000,728620,955430
Rajshahi,2000-2001,796040,1061600
Rajshahi,2001-2002,804960,1054990
Rajshahi,2002-2003,840880,1121930
Rajshahi,2003-2004,881360,1201000
Rajshahi,2004-2005,886941,1274843
Rajshahi,2005-2006,866455,1274558
Rajshahi,2006-2007,178155,288762
Rajshahi,2007-2008,193860,341679
Rajshahi,2008-2009,195615,326367
Rajshahi,2009-2010,176055,272891
Rajshahi,2010-2011,180307,292510
Rajshahi,2011-2012,189045,311571
Rajshahi,2012-2013,184627,302833
Rajshahi,2013-2014,180726,286351
Rajshahi,2014-2015,179050,298819
Rangamati,1980-1981,19305,20260
Rangamati,1981-1982,22265,23035
Rangamati,1982-1983,26745,27885
Rangamati,1983-1984,14655,16260
Rangamati,1984-1985,17700,19080
Rangamati,1985-1986,13795,13882
Rangamati,1986-1987,10285,9530
Rangamati,1987-1988,9680,9181
Rangamati,1988-1989,11520,9925
Rangamati,1989-1990,12660,112700
Rangamati,1990-1991,12480,10170
Rangamati,1991-1992,14540,12960
Rangamati,1992-1993,12870,11620
Rangamati,1993-1994,14650,14420
Rangamati,1994-1995,12650,11200
Rangamati,1995-1996,12390,12100
Rangamati,1996-1997,13490,13520
Rangamati,1997-1998,14600,14640
Rangamati,1998-1999,14050,13870
Rangamati,1999-2000,13110,12930
Rangamati,2000-2001,16620,16180
Rangamati,2001-2002,16090,15770
Rangamati,2002-2003,15810,16100
Rangamati,2003-2004,17050,21960
Rangamati,2004-2005,17120,21817
Rangamati,2005-2006,17345,19630
Rangamati,2006-2007,17755,20631
Rangamati,2007-2008,16395,23936
Rangamati,2008-2009,17017,25032
Rangamati,2009-2010,18186,27491
Rangamati,2010-2011,20376,30774
Rangamati,2011-2012,20016,27126
Rangamati,2012-2013,11832,16623
Rangamati,2013-2014,18759,30629
Rangamati,2014-2015,18786,29896
Rangpur,1969-1970,32570,30555
Rangpur,1970-1971,35000,29665
Rangpur,1971-1972,29995,24725
Rangpur,1972-1973,37270,33335
Rangpur,1973-1974,55860,51205
Rangpur,1974-1975,58800,49675
Rangpur,1975-1976,55660,40970
Rangpur,1976-1977,31040,19220
Rangpur,1977-1978,58760,46265
Rangpur,1978-1979,80085,52765
Rangpur,1979-1980,79310,79010
Rangpur,1980-1981,71735,75435
Rangpur,1981-1982,101490,105770
Rangpur,1982-1983,119240,124920
Rangpur,1983-1984,127040,126175
Rangpur,1984-1985,152565,154535
Rangpur,1985-1986,254670,280739
Rangpur,1986-1987,329315,340975
Rangpur,1987-1988,394157,391777
Rangpur,1988-1989,458555,439325
Rangpur,1989-1990,430890,461820
Rangpur,1990-1991,442790,452680
Rangpur,1991-1992,443380,471860
Rangpur,1992-1993,467010,514950
Rangpur,1993-1994,490320,353510
Rangpur,1994-1995,555840,610100
Rangpur,1995-1996,581360,662390
Rangpur,1996-1997,594270,688410
Rangpur,1997-1998,612520,751650
Rangpur,1998-1999,814880,1036030
Rangpur,1999-2000,801070,1015910
Rangpur,2000-2001,861950,1102780
Rangpur,2001-2002,855780,969860
Rangpur,2002-2003,848260,1032080
Rangpur,2003-2004,871190,1147470
Rangpur,2004-2005,910930,1228937
Rangpur,2005-2006,922335,1290234
Rangpur,2006-2007,285785,429051
Rangpur,2007-2008,299335,472357
Rangpur,2008-2009,304290,483725
Rangpur,2009-2010,314804,515483
Rangpur,2010-2011,316099,480287
Rangpur,2011-2012,326938,497748
Rangpur,2012-2013,326753,537696
Rangpur,2013-2014,331530,572403
Rangpur,2014-2015,333970,605244
Satkhira,2006-2007,140060,216233
Satkhira,2007-2008,158255,234407
Satkhira,2008-2009,166257,238982
Satkhira,2009-2010,179856,263082
Satkhira,2010-2011,180942,260274
Satkhira,2011-2012,182071,265357
Satkhira,2012-2013,178811,270255
Satkhira,2013-2014,186159,287339
Satkhira,2014-2015,90214,141938
Shariatpur,2006-2007,82080,114575
Shariatpur,2007-2008,81170,127232
Shariatpur,2008-2009,82236,133527
Shariatpur,2009-2010,76820,115361
Shariatpur,2010-2011,75555,128536
Shariatpur,2011-2012,76529,131917
Shariatpur,2012-2013,68602,115805
Shariatpur,2013-2014,72567,126113
Shariatpur,2014-2015,67611,118593
Sherpur,2006-2007,184450,264829
Sherpur,2007-2008,192570,300939
Sherpur,2008-2009,189408,289593
Sherpur,2009-2010,212656,334072
Sherpur,2010-2011,212238,372775
Sherpur,2011-2012,216118,364441
Sherpur,2012-2013,216200,346450
Sherpur,2013-2014,215189,353366
Sherpur,2014-2015,654973,1080151
Sirajgonj,2006-2007,318920,514252
Sirajgonj,2007-2008,322270,555424
Sirajgonj,2008-2009,333756,537738
Sirajgonj,2009-2010,332161,515026
Sirajgonj,2010-2011,332689,582944
Sirajgonj,2011-2012,335367,580508
Sirajgonj,2012-2013,339588,571337
Sirajgonj,2013-2014,342373,569664
Sirajgonj,2014-2015,343735,591063
Sunamgonj,2006-2007,411590,411471
Sunamgonj,2007-2008,454845,544804
Sunamgonj,2008-2009,463146,529063
Sunamgonj,2009-2010,276677,353393
Sunamgonj,2010-2011,471144,657326
Sunamgonj,2011-2012,466510,643271
Sunamgonj,2012-2013,470806,641455
Sunamgonj,2013-2014,460322,649667
Sunamgonj,2014-2015,476190,695856
Sylhet,1969-1970,656240,474290
Sylhet,1970-1971,669400,515705
Sylhet,1971-1972,578675,353560
Sylhet,1972-1973,628865,408220
Sylhet,1973-1974,491435,192660
Sylhet,1974-1975,650845,406080
Sylhet,1975-1976,650250,417850
Sylhet,1976-1977,300000,149875
Sylhet,1977-1978,634000,430125
Sylhet,1978-1979,558550,273905
Sylhet,1979-1980,645000,460655
Sylhet,1980-1981,655130,492330
Sylhet,1981-1982,628755,389705
Sylhet,1982-1983,626800,411585
Sylhet,1983-1984,601690,423215
Sylhet,1984-1985,623875,459055
Sylhet,1985-1986,624245,378182
Sylhet,1986-1987,605860,386915
Sylhet,1987-1988,555183,350994
Sylhet,1988-1989,697730,430065
Sylhet,1989-1990,694050,394700
Sylhet,1990-1991,708420,467160
Sylhet,1991-1992,748640,535320
Sylhet,1992-1993,684270,456760
Sylhet,1993-1994,751980,532570
Sylhet,1994-1995,746420,514610
Sylhet,1995-1996,776160,555980
Sylhet,1996-1997,731670,568630
Sylhet,1997-1998,732300,598200
Sylhet,1998-1999,831270,686350
Sylhet,1999-2000,783590,709800
Sylhet,2000-2001,784310,837900
Sylhet,2001-2002,840870,883100
Sylhet,2002-2003,812730,870680
Sylhet,2003-2004,767150,759550
Sylhet,2004-2005,878905,961232
Sylhet,2005-2006,862160,934297
Sylhet,2006-2007,137470,111088
Sylhet,2007-2008,158200,153247
Sylhet,2008-2009,171338,155751
Sylhet,2009-2010,144976,168841
Sylhet,2010-2011,160776,195290
Sylhet,2011-2012,167393,190093
Sylhet,2012-2013,167275,206323
Sylhet,2013-2014,170795,199833
Sylhet,2014-2015,179747,212738
Tangail,1969-1970,49800,50710
Tangail,1970-1971,51500,49315
Tangail,1971-1972,41100,32220
Tangail,1972-1973,54045,58285
Tangail,1973-1974,54750,55040
Tangail,1974-1975,75785,80080
Tangail,1975-1976,79565,78830
Tangail,1976-1977,76810,82930
Tangail,1977-1978,97235,106383
Tangail,1978-1979,102000,80585
Tangail,1979-1980,100555,98850
Tangail,1980-1981,121315,130685
Tangail,1981-1982,179350,206430
Tangail,1982-1983,212735,262145
Tangail,1983-1984,185365,220385
Tangail,1984-1985,193530,235095
Tangail,1985-1986,175560,229511
Tangail,1986-1987,193400,229805
Tangail,1987-1988,204707,217278
Tangail,1988-1989,220720,237455
Tangail,1989-1990,223730,255020
Tangail,1990-1991,214630,237930
Tangail,1991-1992,217930,245070
Tangail,1992-1993,221360,249610
Tangail,1993-1994,221450,264880
Tangail,1994-1995,219040,242480
Tangail,1995-1996,240270,260520
Tangail,1996-1997,251910,283330
Tangail,1997-1998,256470,301880
Tangail,1998-1999,301880,304080
Tangail,1999-2000,323240,388080
Tangail,2000-2001,345060,421440
Tangail,2001-2002,346470,486310
Tangail,2002-2003,343500,506610
Tangail,2003-2004,348950,515620
Tangail,2004-2005,362201,532521
Tangail,2005-2006,367250,552594
Tangail,2006-2007,375000,580080
Tangail,2007-2008,401230,672851
Tangail,2008-2009,407099,637268
Tangail,2009-2010,406308,645116
Tangail,2010-2011,407347,652732
Tangail,2011-2012,412733,658508
Tangail,2012-2013,404361,658469
Tangail,2013-2014,410639,682506
Tangail,2014-2015,220475,349133
Thakurgaon,2006-2007,129970,190419
Thakurgaon,2006-2007,129970,190419
Thakurgaon,2007-2008,139310,257018
Thakurgaon,2008-2009,168678,283786
Thakurgaon,2009-2010,158756,272946
Thakurgaon,2010-2011,158297,267893
Thakurgaon,2011-2012,156902,260918
Thakurgaon,2012-2013,155083,218564
Thakurgaon,2013-2014,156955,244862
Thakurgaon,2014-2015,157505,250353
